Company,City,State,Industry,
Schnitzer Steel Industries , Portland, OR, Energy & Utilities,
Sempra Energy, San Diego, CA, Energy & Utilities,
SM Energy , Denver, CO, Energy & Utilities,
Southern Company, Atlanta, GA, Energy & Utilities,
Southwest Gas , Las Vegas, NV, Energy & Utilities,
Southwestern Energy , Spring, TX, Energy & Utilities,
Spectra Energy , Houston, TX, Energy & Utilities,
SunEdison , Maryland Heights, MO, Energy & Utilities,
Targa Resources , Houston, TX, Energy & Utilities,
TECO Energy , Tampa, FL, Energy & Utilities,
The AES , Arlington, VA, Energy & Utilities,
UGI , King Of Prussia, PA, Energy & Utilities,
United Refining , Warren, PA, Energy & Utilities,
Vectren , Evansville, IN, Energy & Utilities,
Waste Connections , Spring, TX, Energy & Utilities,
Waste Management , Houston, TX, Energy & Utilities,
WEC Energy Group, Milwaukee, WI, Energy & Utilities,
WESCO Distribution Inc., Pittsburgh, PA, Energy & Utilities,
Westar Energy , Topeka, KS, Energy & Utilities,
Western Refining , El Paso, TX, Energy & Utilities,
WGL Holdings , Washington, DC, Energy & Utilities,
Whiting , Denver, CO, Energy & Utilities,
World Fuel Services , Miami, FL, Energy & Utilities,
WPX Energy, Tulsa, OK, Energy & Utilities,
Xcel Energy , Minneapolis, MN, Energy & Utilities,
Maxim Integrated Solutions, San Jose, CA, Engineering,
ABM Industries , New York, NY, Facilities Management ,
Ally Financial , Detroit, MI, Financial Services, Banks
Bank of America, Charlotte, NC, Financial Services, Banks
Bank of New York Mellon , New York, NY, Financial Services, Banks
BB&T, Winston Salem, NC, Financial Services, Banks
Citigroup, New York, NY, Financial Services, Banks
Comerica , Dallas, TX, Financial Services, Banks
Fidelity National Information Services , Jacksonville, FL, Financial Services, Banks
Fifth Third Bancorp, Cincinnati, OH, Financial Services, Banks
Huntington Bancshares, Columbus, OH, Financial Services, Banks
JPMorgan Chase, New York, NY, Financial Services, Banks
KeyCorp, Cleveland, OH, Financial Services, Banks
M&T Bank , Buffalo, NY, Financial Services, Banks
McGraw-Hill Financial , New York, NY, Financial Services, Banks
New York Community Bank, Westbury, NY, Financial Services, Banks
PNC Financial , Pittsburgh, PA, Financial Services, Banks
Regions Financial , Birmingham, AL, Financial Services, Banks
SunTrust Banks , Atlanta, GA, Financial Services, Banks
U.S. Bancorp, Minneapolis, MN, Financial Services, Banks
Wells Fargo , San Francisco, CA, Financial Services, Banks
Zions Bancorporation, Salt Lake City, UT, Financial Services, Banks
American Capital Agency , Bethesda, MD, Financial Services, Credit Cards Services
American Express , New York, NY, Financial Services, Credit Cards Services
Capital One , Mc Lean, VA, Financial Services, Credit Cards Services
Discover Financial Services, Riverwoods, IL, Financial Services, Credit Cards Services
First Data , Atlanta, GA, Financial Services, Credit Cards Services
Fiserv , Brookfield, WI, Financial Services, Credit Cards Services
Heartland Payment Systems , Princeton, NJ, Financial Services, Credit Cards Services
MasterCard , Purchase, NY, Financial Services, Credit Cards Services
SLM , Newark, DE, Financial Services, Credit Cards Services
Vantiv , Cincinnati, OH, Financial Services, Credit Cards Services
Visa , San Mateo, CA, Financial Services, Credit Cards Services
Affiliated Managers Group , Beverly, MA, Financial Services, Investment Banking 
Apollo Global , New York, NY, Financial Services, Investment Banking 
Blackstone Group , New York, NY, Financial Services, Investment Banking 
Carlyle Group, Washington, DC, Financial Services, Investment Banking 
Franklin Resources , San Mateo, CA, Financial Services, Investment Banking 
HRG Group , New York, NY, Financial Services, Investment Banking 
Icahn Enterprises , New York, NY, Financial Services, Investment Banking 
Kohlberg Kravis Roberts , New York, NY, Financial Services, Investment Banking 
Leucadia National , New York, NY, Financial Services, Investment Banking 
Morgan Stanley, New York, NY, Financial Services, Investment Banking 
Oaktree Capital Group , Los Angeles, CA, Financial Services, Investment Banking 
Stifel Financial , Saint Louis, MO, Financial Services, Investment Banking 
T. Rowe Price , Baltimore, MD, Financial Services, Investment Banking 
Valhi , Dallas, TX, Financial Services, Investment Banking 
Annaly Capital Management , New York, NY, Financial Services, Lending and Mortgage
CIT Group , New York, NY, Financial Services, Lending and Mortgage
Federal Home Loan Mortgage Corporation (Freddie Mac), Mc Lean, VA, Financial Services, Lending and Mortgage
Federal National Mortgage Association (Fannie Mae), Washington, DC, Financial Services, Lending and Mortgage
Ocwen Financial , Atlanta, GA, Financial Services, Lending and Mortgage
PHH , Mount Laurel, NJ, Financial Services, Lending and Mortgage
Northern Trust , Chicago, IL, Financial Services,
Raymond James Financial , Saint Petersburg, FL, Financial Services,
State Street , Boston, MA, Financial Services,
Ameriprise Financial, Minneapolis, MN, Financial Services,
BGC Partners , New York, NY, Financial Services,
BlackRock , New York, NY, Financial Services,
Broadridge Financial Solutions , New Hyde Park, NY, Financial Services,
Charles Schwab , San Francisco, CA, Financial Services,
E*TRADE Financial , New York, NY, Financial Services,
Edward Jones, Saint Louis, MO, Financial Services,
First American Financial , Santa Ana, CA, Financial Services,
Global Payments , Atlanta, GA, Financial Services,
Goldman Sachs, New York, NY, Financial Services,
H&R Block, Kansas City, MO, Financial Services,
INTL FCStone , New York, NY, Financial Services,
Legg Mason , Baltimore, MD, Financial Services,
LPL Financial , Boston, MA, Financial Services,
Moody's , New York, NY, Financial Services,
Nasdaq OMX Group , New York, NY, Financial Services,
Spectrum Group International , Irvine, CA, Financial Services,
TD Ameritrade , Omaha, NE, Financial Services,
Thrivent Financial for Lutherans, Minneapolis, MN, Financial Services,
TIAA-CREF, New York, NY, Financial Services,
Total System Services , Columbus, GA, Financial Services,
United Services Automobile Association, San Antonio, TX, Financial Services,
Western Union , Englewood, CO, Financial Services,
KBR , Houston, TX, Government,
Abbott Laboratories, Abbott Park, IL, Healthcare, Pharmaceuticals
AbbVie , North Chicago, IL, Healthcare, Pharmaceuticals
Alere , Waltham, MA, Healthcare, Pharmaceuticals
Allergan , Irvine, CA, Healthcare, Pharmaceuticals
AmerisourceBergen," Chesterbrook""", PA, Healthcare, Pharmaceuticals
Amgen, Thousand Oaks, CA, Healthcare, Pharmaceuticals
Anthem , Indianapolis, IN, Healthcare, Pharmaceuticals
Apria Healthcare Group, Lake Forest, CA, Healthcare, Pharmaceuticals
Avon Products , New York, NY, Healthcare, Pharmaceuticals
Baxter International , Deerfield, IL, Healthcare, Pharmaceuticals
Becton Dickinson and Company, Franklin Lakes, NJ, Healthcare, Pharmaceuticals
Biogen Idec , Weston, MA, Healthcare, Pharmaceuticals
Biomet , Warsaw, IN, Healthcare, Pharmaceuticals
Bio-Rad Laboratories , Hercules, CA, Healthcare, Pharmaceuticals
Boston Scientific, Marlborough, MA, Healthcare, Pharmaceuticals
Bristol-Myers Squibb , New York, NY, Healthcare, Pharmaceuticals
Brookdale Senior Living , Brentwood, TN, Healthcare, Pharmaceuticals
C. R. Bard , New Providence, NJ, Healthcare, Pharmaceuticals
Cardinal Health, Dublin, OH, Healthcare, Pharmaceuticals
CareFusion, San Diego, CA, Healthcare, Pharmaceuticals
Celgene , Summit, NJ, Healthcare, Pharmaceuticals
Community Health, Franklin, TN, Healthcare, Pharmaceuticals
Comscope, Orland Park, IL, Healthcare, Pharmaceuticals
COVANCE , Princeton, NJ, Healthcare,
DaVita , Denver, CO, Healthcare, Pharmaceuticals
DENTSPLY International , York, PA, Healthcare, Pharmaceuticals
Edwards Lifesciences , Irvine, CA, Healthcare, Pharmaceuticals
